,NAME_3,price(million)
691,Jining,2759331.6040999996
692,Jinjiang,2112791.9541999977
693,Jinkouhe,3848.92
694,Jinning,535663.1028999995
695,Jinping,53511.48800000002
696,"Jinping Miao, Yao and Dai",8739.732699999997
697,Jinsha,464059.991
698,Jinshi,465808.36
699,Jinta,24251.19380000001
700,Jintan,7221301.2911
701,Jintang,187035.44339999993
702,Jinxi,578621.3392000002
703,Jinxian,463184.65570000024
704,Jinxiang,662493.557999999
705,Jinxiu Yao,28500.306300000004
706,Jinyun,244578.17190000004
707,Jinzhai,1029479.4250000002
708,Jinzhou,1438041.9802
709,Jishan,13419.694
710,"Jishishan Bonan, Dongxiang and Salar",19635.001
711,Jishou,114766.92
712,Jishui,125578.26
713,Jiujiang Xiàn,609454.7975
714,Jiutai,278142.6876999998
715,Jixi,237708.12440000012
716,Jixian,74488.81159999999
717,Jiyang,309793.78920000006
718,Jiyuan,317064.1929999998
719,Jize,13037.619000000002
720,Jonê,405.421
721,Juancheng,1407376.2435999997
722,Julu,89615.40520000001
723,Junan,444756.3041999995
724,Jungar,128000.44039999999
725,Junlian,77913.0
726,Junxian,1105831.5464000003
727,Jurong,1409545.8845000006
728,Juxian,1960703.174799999
729,Juye,351944.59410000005
730,Kaifeng,98920.34
731,Kaifeng Xiàn,98920.34
732,Kaihua,275222.3102
733,Kaijiang,90185.46219999998
734,Kaili,229448.3412999999
735,Kailu,40827.0359
736,Kaiping,161422.0025
737,Kaiyang,131585.5498
738,Kaiyuan,361924.69129999966
739,Kalpin,17537.591699999997
740,Kang,2954.580200000001
741,Kangbao,44594.74839999998
742,Kangding,11028.411400000005
743,Kangle,8730.000999999998
744,Kangping,60195.079999999994
745,Karamay,26557.063099999978
746,Kashgar,425247.4938000002
747,Kedong,20717.568
748,Kelan,39797.09159999999
749,Kenli,412208.21249999997
750,Keshan,33639.250400000004
751,Khotan,109750.87149999998
752,Kuancheng Manchu,241572.81759999998
753,Kuandian Manchu,82588.5115
754,Kuitun,265433.35930000007
755,Kunming,9105662.124799997
756,Kunshan,4692011.570300001
757,Lai'an,474180.8229
758,Laibin,529622.7610000003
759,Laifeng,103797.95599999998
760,Laishui,196074.5435
761,Laiwu,666960.9938000002
762,Laixi,273670.9248999991
763,Laiyang,314282.11169999995
764,Laiyuan,33357.270000000004
765,Laizhou,370057.86490000016
766,Lan,25577.3185
767,Lancang Lahu,10711.175299999997
768,Langao,9765.255999999994
769,Langxi,185285.93
770,Langzhong,846751.28
771,Lankao,254558.34999999998
772,Lanping Bai and Pumi,5012.2876999999935
773,Lantian,43526.0
774,Lanxi,422689.9970000003
775,Laohekou,244124.17019999993
776,Laoshan,2007191.1882999998
777,Le'an,142677.87
778,Lechang,68635.11709999999
779,Ledong Li,280747.0
780,Ledu,22866.783000000003
781,Leibo,9246.442200000001
782,Leishan,56384.23369999998
783,Leizhou,62887.713600000025
